OperationStep,Man.Item.No,Description,Qty
OP0710,218091416,SCR CAP HD M8*45 SS,24
OP0710,218983510,WSHR S-COIL M8 SS,24
OP0710,218981310,WSHR NORM M8 SS,24
OP0720,IE0113099,GAS DETECTOR COVER,6
OP0720,IE0143138,EPDM TAPE 3MM THICK,12
OP0720,218231370,SCR CAP HD M6*16 SS,18
OP0720,218981309,WSHR NORM M6 SS,18
OP0730,NKB869702,RIKEN GD-70D 4-20 CATALYTIC,6
OP0730,IE0113098,GAS SENSOR MOUNTING BRKT,6
OP0730,218681045,SEM CAP HD SKT M5*15 GR10.9,24
OP0740,NKB901030,NEW CABINET EXTRACT INTERLOCK,6
OP0740,218820004,NUT KEPS M5 MS ZN CPAS,12
OP0750,IE0113381,GAS DETECTOR COVER,6
OP0750,218681030,SOC HD SEM M6*16 ENP GR12.9,12
OP0750,218231370,SCR CAP HD M6*16 SS,12
OP0750,218681022,SCR SEM SOC HD CAP M6*16 ENP,12
OP0750,NKB905814,SEM CAP HD SKT M6*30,18
OP0760,IE0123092,6MM NYLON TUBE BLACK – 50 mm,12
OP0760,NRE188761,UNION ELBOW Ø6MM TUBE,6
OP0760,-,MICRO FILTER ASSY,6
OP0760,IE0123145,6MM NYLON TUBE WHITE – 1200 mm,6
OP0760,IE0123092,6MM NYLON TUBE BLACK – 1100 mm,6
OP0770,NRE188715,"S/STELL PIPR P-CLIP, 6MM",24
OP0770,218681022,SCR SEM SOC HD CAP M6*16,12
OP0780,NRE188715,"S/STELL PIPR P-CLIP, 6MM",24
OP0780,218681022,SCR SEM SOC HD CAP M6*16,18
OP0780,,6MM NYLON TUBE WHITE – 1600 mm,6
OP0780,,6MM NYLON TUBE BLACK – 1600 mm,6
OP0790,NKB832708,PUSH IN STRAIGHT UNION 6MM,12
OP0800,IE0113761,REAR UPPER PANEL ASSY,2
OP0800,IE0113759,REAR LOWER PANEL ASSY,2
OP0800,IE0113751,REAR UPPER LH PANEL ASSY,3
OP0800,IE0113747,REAR UPPER RH PANEL ASSY,3
OP0800,IE0113749,REAR LOWER LH PANEL ASSY,3
OP0800,IE0113745,REAR LOWER RH PANEL ASSY,3
OP0800,218681022,SCREW SEM SOC HD CAP M6*16 ENP,64
OP0810,IE0113778,LEFT SIDE UPR LS PNL ASSY,1
OP0810,IE0113885,COMM UPR MID SIDE PANEL ASSY,1
OP0810,IE0113891,LEFT SIDE UPR RS PNL ASSY,1
OP0810,IE0113890,LEFT SIDE LWR LS PNL ASSY,1
OP0810,IE0113884,COMM LWR MID SIDE PANEL ASSY,1
OP0810,IE0113892,LEFT SIDE LWR RS PNL ASSY,1
OP0810,IE0113280,DOOR JAMB END COVER ASSY,1
OP0810,218231377,SCR CAP HD M6*50 SS,4
OP0810,218981309,WSHR NORM M6 SS,4
OP0810,218983509,WSHR S-COIL M6 SS,4
OP0810,218091376,SCR CAP HD M6*45 MS NI,24
OP0820,IE0113882,FRONT UPR RH SIDE PANEL ASSY,1
OP0820,IE0113885,COMM UPR MID SIDE PANEL ASSY,1
OP0820,IE0113781,BACK UPR RH SIDE PANEL ASSY,1
OP0820,IE0113883,FRONT LWR RH SIDE PANEL ASSY,1
OP0820,IE0113884,COMM LWR MID SIDE PANEL ASSY,1
OP0820,IE0113773,BACK LWR RH SIDE PANEL ASSY,1
OP0820,IE0113775,END CORNER ASSY - RHS,1
OP0820,218231377,SCR CAP HD M6*50 SS,4
OP0820,218981309,WSHR NORM M6 SS,4
OP0820,218983509,WSHR S-COIL M6 SS,4
OP0820,218091376,SCR CAP HD M6*45 MS NI,24
OP0830,IE0113841,GEN TOP TRUNKING COVER ASSY,2
OP0830,IE0113081,TOP CABLE DUCT COVER ASSY,4
OP0830,218681022,SCREW SEM SOC HD CAP M6*16 ENP,5
OP0830,218002371,SCREW M6 HEX HD MS*20 LG N/P,1
OP0830,218981309,WSHR NORM M6 SS,1
OP0830,218983509,WSHR S-COIL M6 SS,1
OP0840,IE0113623,TOP ELEC LV COVER ASSY,6
OP0840,NKB905810,SEM CAP HD SKT M6*20,42
OP0850,IE0113796,TOP ELEC HV COVER ASSY LH,3
OP0850,IE0113822,PM TOP ELEC HV COVER ASSY,2
OP0850,IE0113820,TOP ELEC HV COVER ASSY,2
OP0850,NKB905810,SEM CAP HD SKT M6*20,36
OP0860,IE0113798,TOP ELEC HV COVER ASSY LH,6
OP0860,NKB905810,SEM CAP HD SKT M6*20,24
OP0870,IE0113422,PUMP FUSEBOX FRONT COVER ASSY,6
OP0870,218960310,NUT FULL M6 SS,24
OP0870,218981309,WSHR NORM M6 SS,24
OP0870,218983509,WSHR S-COIL M6 SS,24
OP0870,IE0113814,PM FUSEBOX FORNT RH COVER ASSY,1
OP0870,IE0113794,PM FUSEBOX FORNT LH COVER ASSY,5
OP0870,NKB905810,SEM CAP HD SKT M6*20,24
OP0880,IE0113785,PUMP FUSEBOX BACK COVER ASSY,6
OP0880,IE0113816,PM FUSEBOX BACK RH COVER ASSY,1
OP0880,IE0113792,PM FUSEBOX BACK LH COVER ASSY,5
