OperationStep,Ref.,Man.Item.No,Description,Qty
OP0780,0660,A30352056,BEARING RETAINER PLATE.         150C,1
OP0780,0590,27522-046,M6X16 SOC HD CAP ENP CO.      150C,8
OP0790,0680,A41200344,OIL THROWER ASSY – PLAIN.100C,2
OP0790,0680,A41204044,OIL THROWER ASSY – PLAIN.150C,2
OP0800,0720,A22408003,LOCKNUT M35 x 1.5 x 8 THICK.100C,1
OP0800,0720,A22408004,LOCKNUT M40 x 1.5 x 9 THICK. 150C,1
OP0820,0690,A41200048,HV CLAMPING SPACER              100C,1
OP0820,0690,A41204048,HV CLAMPING SPACER.             150C,1
OP0820,0870,218984943,DISC SPRING.                              100C,1
OP0820,0880,218091495,M12 x 40 SHCS.                            100C,1
OP0820,0700,218984943,DISC SPRING.                              150C,1
OP0820,0710,218091495,M12 x 40 SHCS.                            150C,1
OP0830,0740,A22305001,COILED MIST FILTER.                      100C,1
OP0830,0970,211910003,INT CIRCLIP 29.1 O:D X 1.2 THK.    100C,1
OP0830,0740,A22305001,COILED MIST FILTER.                      150C,1
OP0830,0760,211910003,INT CIRCLIP 29.1 0:D X 1.2 THK.     150C,1
OP0900,100C,A41201057,AXIAL SETRING LOCKINGPLAT.        100C,2
OP0900,0890,A41205057,AXIAL SETRING LOKING PLATE.       150C,2
OP0900,0895,218436290,Scr btn hd hex soc np M5 x 10.100/150C,2
OP0910,,A41205066,AXIAL SET RING LOCK PLT 30 DEG,2
OP0910,,A41201066,AXIAL SET RING LOCKING PLATE,2
OP0910,,218430125,SCR CAP LOW HD M5X10 GR10.9,2
OP1070,0910,H02134002,ORING VIT9830  19.6ID X 2.4SEC.         100C,1
OP1070,0750,A41200711,CHECK VALVE ASSY PK.10.       100/150C,1
OP1070,0760,211910004,INT CIRCLIP 27.9 O:D X 1.2 THK.   100C,1
OP1070,0740,A22305001,COILED MIST FILTER.                     100C,1
OP1070,0970,211910003,INT CIRCLIP 29.1 O:D X 1.2 THK100/150C,1
OP1070,0950,A22305001,COILED MIST FILTER.                   150C,1
OP1070,0760,211910003,INT CIRCLIP 27.9 0:D X 1.2 THK.   150C,1
OP1100,0800,A25976001,SIGHT GLASS REFLECTOR.    100/150C,1
OP1100,0810,A27820008,COMPRESSION RING.              100/150C,1
OP1100,0780,H02134007,O RING 31.34 ID X 3.53 SEC.    100C,1
OP1100,0780,H02134007,O RING 31.34 ID X 3.53 SEC.     150C,1
OP1100,0820,A29201004,SIGHT GLASS.                           100/150C,1
OP1100,,A41201025,END COVER,1
OP1100,,A41205025,HV END COVER 150 CRS INT PIPE,1
OP1100,,A41201076 ,NB-END COVER,1
OP1100,,A41205028 ,NB-HV END COVER 150 CRS INT PIPE,1
OP1120,0780,H02134007,O RING 31.34 ID X 3.53 SEC.        100C,1
OP1120,0780,H02134007,O RING 31.34 ID X 3.53 SEC.        150C,1
OP1120,0830,A20416007,SIGHT GLASS BEZEL..                  100C,1
OP1120,0830,A20416012,SIGHT GLASS BEZEL.                   150C,1
OP1120,1060,218436290,M5 X 10 SCR BTN HD.                   100C,4
OP1120,0840,218436290,M5 X 10 SCR BTN HD.                   150C,4
OP1130,1090,H02134011,ORING VIT9830 255.5ID X 4.0SEC. 100C,1
OP1130,0860,H02134013,ORING VIT9830 371.5ID X 4.0SEC. 150C,1
OP1140,,218092453,SCR CAP HT ENP M10X30LG G12.9G12.9,8
OP1140,,218092453,SCR CAP HT ENP M10X30LG G12.9,10
OP1150,0800,A25976001,SIGHT GLASS REFLECTOR.      100/150C,1
OP1150,0810,A27820008,COMPRESSION RING.                 100/150C,1
OP1150,0780,H02134007,O RING 31.34 ID X 3.53 SEC.             100C,1
OP1150,0990,H02134007,O RING 31.34 ID X 3.53 SEC.             150C,1
OP1150,0820,A29201004,SIGHT GLASS.                             100/150C,1
OP1150,1010,A41201024,GEAR COVER,1
OP1150,150C,A41206024,GEAR COVER                                150 CRS,1
OP1170,0780,H02134007,O RING 31.34 ID X 3.53 SEC.   100C,1
OP1170,0990,H02134007,O RING 31.34 ID X 3.53 SEC.   150C,1
OP1170,0830,A20416007,SIGHT GLASS BEZEL.             100C,1
OP1170,1050,A20416012,SIGHT GLASS BEZEL.             150C,1
OP1170,1060,218436290,M5 X 10 SCR BTN HD.      100/150C,4
OP1180,1080,A21035164,COLLECTION TRAY.                           100C,1
OP1180,1080,A21035171,COLLECTION TRAY.                           150C,1
OP1180,0926,218436290,M5 X 10 SCR BTN HD HEX SOC NP   100/150C,2
OP1190,0924,H02134018,ORING VIT9830.                                100C  ,1
OP1190,1390,H02134003,ORING VIT9830  61.51ID X 2.4 SEC 150C,1
OP1190,0980,A41201042,LV COOLING ASSY.                          100C,1
OP1190,0980,A41206042,LV COOLING ASSY.                          150C,1
OP1190,,A41201048,NB-LV COOLING ASSY,1
OP1190,,A41206043,NB-LV COOLING ASSY,1
OP1190,0926,218092330,SCR CAP HT NI M 5.X16LG.             100C,4
OP1190,0985,218092330,SCR CAP HT NI M 5.X16LG.             150C,4
OP1200,1090,H02134011,ORING VIT9830 255.5ID X 4.0SEC.         100C,1
OP1200,150C,H02134013,ORING VIT9830 371.5ID X 4.0SEC.         150C,1
OP1210,0090,218092453,SCR CAP HTENP.M10X30LG         100C,7
OP1210,0090,218092453,SCR CAP HT ENP.M10X30LG        150C,11
OP1210,,,GEAR COVER ASSY.   100C,1
OP1210,,,GEAR COVER ASSY.   150C,1
OP1220,0924,H02134018,ORING VIT9830.                                100C,1
OP1220,1390,H02134003,ORING VIT9830  61.51ID X 2.4 SEC150C,1
OP1220,0980,A41201042,LV COOLING ASSY.                         100C,1
OP1220,0980,A41206042,LV COOLING ASSY.                         150C,1
OP1220,0926,218092330,SCR CAP HT NI M 5.X16LG.            100C,4
OP1220,0985,218092330,SCR CAP HT NI M 5.X16LG.            150C,4
OP1250,1200,A24301064,KEY - 7 X 8 X 35 LG. 100/150C,1
OP1260,1220,A41200051,COUPLING – MOTOR. 100/150C,1
OP1270,1240,A41200050,A41200816 KIT 2,1
OP1270,1240,A41200050,A41205816 KIT 2,1
OP1280,1210,H02134017,O RING VIT9830 212.0ID X.  100C,1
OP1280,1210,H02134017,O RING VIT9830 212.0ID X   150C,1
OP1300,0090,218092453,SCR CAP HT NI M10.X 30LG.   100/150C,8
OP1320,1130,A26002063,3/8” BSP PLUG HEX DRIVE.  1OO,1
